StudentID,JTE-234,ATE-003,TGL-013,PPL-239,WDM-974,GHL-823,HLU-200,MON-014,FEA-907,LPG-307,TSO-010,LDE-009,JJP-001,MTE-004,LUU-003,LOE-103,PLO-132,BKO-800,SLE-332,BKO-801,DSE-003,DSE-005,ATE-014,JTW-004,ATE-008,DSE-007,ATE-214,JHF-101,KMO-007,WOT-104
0,6,6,6,7,6,7,6,6,6,6,7,8,7,6,6,6,6,8,6,6,6,7,7,7,6,9,7,6,6,6
1,7,8,7,7,7,7,7,8,7,9,6,7,8,6,8,6,8,6,7,6,6,7,7,8,7,7,8,6,8,6
2,6,7,7,7,7,6,8,6,6,7,6,6,7,7,7,6,6,6,6,7,6,6,6,7,6,6,7,6,7,6
3,6,6,6,7,6,6,6,7,7,8,7,6,7,7,7,6,7,6,6,6,6,7,6,6,6,7,7,6,7,6
4,9,10,6,8,7,7,8,7,10,8,6,8,9,10,8,8,9,8,9,7,9,10,8,8,8,8,10,8,8,8
5,7,10,7,8,7,7,7,8,9,7,7,7,8,7,8,8,9,7,8,6,7,9,7,9,7,8,8,7,8,6
6,7,7,7,6,7,7,7,7,8,7,6,7,9,8,8,6,7,7,7,7,7,9,6,8,7,6,9,6,8,6
7,8,8,7,8,7,7,8,8,9,9,7,7,9,8,8,7,8,7,8,7,7,9,8,8,8,8,9,7,9,7
8,10,10,8,8,8,8,10,7,9,9,6,7,9,9,7,9,7,8,9,9,8,10,7,8,7,8,9,8,7,9
9,9,10,8,8,7,7,9,8,8,10,6,8,8,9,7,9,9,7,8,9,9,9,8,8,7,9,8,8,7,8
10,6,6,6,6,6,6,7,6,6,6,7,9,6,6,10,6,9,8,6,6,7,6,6,6,8,9,6,6,8,6
11,8,7,6,6,8,7,8,7,7,8,6,7,8,7,7,8,6,6,7,8,7,7,6,7,6,6,6,8,6,7
12,7,8,6,6,6,6,7,6,8,7,6,9,8,7,6,7,6,6,6,7,7,9,6,7,6,6,8,6,7,6
13,8,10,7,8,8,6,9,9,8,9,7,8,9,8,7,8,8,8,9,7,8,9,8,8,7,9,9,7,8,8
14,7,7,6,6,6,6,6,6,7,7,6,6,7,7,6,7,7,6,8,8,7,7,6,7,7,6,8,7,7,6
15,9,10,7,8,7,8,9,7,9,9,7,8,9,9,8,8,10,7,10,7,8,10,9,8,9,9,9,8,9,8
16,7,8,6,7,7,6,8,7,7,7,6,7,7,7,7,6,7,6,7,6,7,7,6,8,6,6,8,7,6,7
17,6,10,6,7,7,6,7,7,9,7,7,7,9,8,7,7,8,7,7,6,6,9,7,8,7,7,10,6,9,6
18,10,10,8,8,8,7,8,7,10,9,7,8,9,8,8,9,8,9,9,8,10,9,7,7,8,6,9,7,7,8
19,6,6,7,7,7,6,7,6,7,8,7,7,8,6,7,6,6,7,6,7,6,8,6,8,6,6,7,6,7,6
20,6,7,6,6,6,6,6,6,8,6,6,6,10,7,6,6,6,6,8,6,6,9,6,7,6,6,10,6,6,6
21,7,6,7,7,8,7,7,7,7,8,6,7,7,8,7,8,7,7,6,8,7,7,6,8,6,7,8,6,8,7
22,6,8,6,7,6,6,6,6,7,6,6,9,7,7,7,6,6,6,7,6,6,7,6,7,6,6,7,6,6,7
23,7,7,6,7,6,6,7,6,7,7,6,7,6,7,7,7,8,7,8,7,7,7,6,7,6,8,7,7,6,6
24,6,7,7,7,7,6,6,8,7,7,6,6,7,6,8,6,7,6,6,6,6,7,7,8,6,7,7,6,7,6
25,7,8,6,7,6,6,6,6,7,7,6,9,9,9,6,6,6,8,8,6,8,8,6,6,6,6,8,6,6,6
26,7,9,6,7,6,6,6,6,9,7,6,8,9,8,7,6,7,7,7,6,6,8,6,8,7,8,8,6,8,6
27,7,8,9,8,8,8,8,8,8,8,6,7,8,8,8,7,7,6,7,7,7,8,6,8,7,7,7,7,7,7
28,6,6,6,6,6,6,7,6,7,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6
29,7,9,7,8,7,7,7,7,8,8,6,8,8,8,7,7,8,7,8,7,6,8,7,8,7,8,7,7,8,6
30,7,7,8,8,8,8,7,7,8,9,6,8,8,6,8,7,8,6,7,8,7,7,7,9,8,8,7,6,9,6
31,7,7,6,7,6,6,6,6,7,7,7,6,7,8,8,7,6,6,8,7,7,8,6,6,6,6,8,6,6,6
32,7,9,6,8,7,7,9,7,9,7,6,6,9,9,8,7,7,8,9,7,7,10,7,8,7,6,10,8,7,6
33,6,6,6,7,6,6,7,6,8,6,6,6,7,7,6,6,6,7,7,6,6,8,6,7,6,6,7,6,6,6
34,9,8,8,8,8,8,9,9,7,9,6,9,8,7,8,9,9,7,7,10,8,8,8,9,7,8,8,10,8,9
35,6,7,6,6,6,6,6,6,7,6,6,7,6,6,7,6,6,6,7,7,6,8,7,6,6,6,8,7,6,6
36,9,8,9,7,9,9,10,8,7,10,7,9,8,8,8,10,8,8,9,9,9,8,8,9,8,8,8,9,8,7
37,7,7,8,6,6,6,8,7,7,7,6,7,7,6,7,7,7,6,6,6,7,8,6,7,6,8,7,8,6,6
38,9,10,8,8,8,7,9,8,10,9,7,8,9,9,9,9,8,8,9,9,9,9,7,8,8,7,10,7,7,8
39,7,10,8,7,7,8,8,8,7,10,7,8,7,7,8,7,9,7,7,6,6,7,7,8,7,9,8,6,8,6
40,7,9,7,9,8,7,8,7,10,8,6,8,9,8,9,7,9,8,10,7,7,9,8,8,8,10,9,7,10,7
41,7,10,6,7,7,7,8,7,8,8,6,6,8,9,7,7,9,8,9,8,9,8,6,6,6,7,8,6,7,7
42,8,9,7,8,8,7,8,8,8,8,6,8,7,6,8,8,8,7,8,6,7,8,8,8,7,9,9,8,8,6
43,6,6,7,7,7,6,6,8,7,7,6,7,7,7,8,6,7,6,6,6,7,7,6,8,7,6,7,6,7,6
44,7,9,6,8,7,7,8,7,8,8,7,7,7,6,8,8,8,6,9,6,6,9,6,8,7,8,8,6,9,6
45,7,9,6,7,6,6,7,6,9,7,6,6,7,9,7,7,8,8,9,7,7,8,7,7,7,8,9,7,7,7
46,7,8,6,8,7,6,7,6,8,7,6,6,8,7,8,7,7,7,7,6,6,9,6,9,7,7,9,6,8,6
47,8,10,9,9,8,7,9,9,10,10,8,9,8,8,10,9,10,8,9,7,9,10,9,9,8,9,10,9,9,8
48,8,8,9,7,8,8,9,8,9,9,8,8,7,7,7,9,8,7,8,9,8,9,7,9,8,8,8,8,7,8
49,7,8,7,7,7,6,9,7,8,7,6,7,9,8,6,7,6,7,8,8,7,9,7,8,7,6,9,6,6,8
50,8,7,7,7,8,8,8,7,6,9,6,8,7,7,7,8,8,6,7,7,7,7,7,7,7,7,7,8,7,7
51,7,8,7,7,7,7,8,7,8,9,6,7,8,7,8,7,9,7,7,6,7,9,7,9,7,9,7,6,9,6
52,9,10,8,8,9,7,9,9,10,9,8,8,10,9,9,9,9,7,10,8,9,10,8,8,7,9,10,8,8,8
53,8,10,8,9,7,8,7,8,8,10,7,8,7,7,10,7,9,7,9,8,8,8,9,8,8,9,9,8,9,7
54,9,10,8,9,8,8,9,8,9,10,8,9,9,9,9,9,9,9,9,9,9,9,7,9,9,9,10,8,10,9
55,6,10,6,7,6,6,6,6,8,7,6,6,7,7,6,6,8,7,8,6,7,8,6,8,6,7,9,6,7,6
56,6,7,7,8,6,7,7,7,6,6,6,6,7,7,7,7,7,6,6,7,6,7,7,8,6,7,7,6,7,6
57,7,8,6,7,6,7,7,6,8,7,7,7,9,9,7,8,7,6,8,7,8,9,7,7,7,7,9,6,7,7
58,7,9,8,8,7,7,8,8,7,10,7,9,7,6,9,8,9,7,7,7,7,7,8,10,8,8,8,8,8,7
59,6,7,6,7,6,7,6,7,7,7,6,6,7,6,7,6,8,6,7,6,6,8,6,7,6,7,7,6,8,6
60,9,10,6,8,8,7,7,7,9,8,7,7,8,7,8,7,9,7,9,7,8,9,6,8,7,8,10,6,9,6
61,9,8,9,9,8,8,10,9,8,10,6,9,9,8,9,9,10,8,9,8,9,9,10,9,8,8,9,9,8,9
62,8,9,6,7,7,6,7,7,8,7,6,6,8,7,7,7,8,7,8,7,8,9,6,7,7,7,7,6,7,7
63,8,8,6,7,6,7,8,6,9,7,6,6,8,8,7,7,7,7,8,7,7,9,7,7,6,6,8,6,6,7
64,8,8,7,8,8,7,7,7,8,7,6,7,9,9,8,8,6,8,8,7,8,10,6,8,6,7,10,6,7,7
65,7,7,7,8,7,7,7,7,7,8,6,7,8,6,8,6,8,6,8,7,6,7,8,8,6,7,8,6,8,6
66,7,7,6,6,6,6,6,6,7,6,6,6,8,7,6,6,6,6,7,7,6,6,7,7,7,6,7,6,6,6
67,7,6,6,7,6,6,6,6,6,7,7,6,7,6,6,7,6,6,6,7,7,6,7,6,6,6,7,7,6,6
68,7,7,8,7,7,6,8,7,8,8,6,8,8,8,7,8,8,6,7,8,7,7,7,7,6,8,7,7,7,6
69,6,7,6,6,7,6,6,6,6,7,6,6,7,6,8,6,7,6,6,6,7,6,6,7,6,6,6,6,7,6
70,7,7,6,7,6,6,7,8,7,8,6,7,7,6,7,7,8,6,7,6,6,7,7,7,7,7,6,6,7,6
71,7,9,7,6,7,7,8,7,7,8,6,7,7,6,8,7,7,6,6,6,7,6,7,7,6,7,7,6,7,7
72,6,8,6,6,7,6,7,7,8,7,7,7,6,6,7,7,8,7,7,6,7,8,6,8,6,7,7,7,7,6
73,8,8,7,8,8,6,8,7,9,7,6,7,10,9,7,8,8,7,10,7,9,9,7,7,7,7,8,7,7,7
74,6,6,6,6,6,6,7,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,7,6
75,7,7,7,7,8,7,8,8,7,8,7,7,8,8,7,7,7,6,6,7,7,8,6,8,6,6,8,6,7,6
76,8,8,6,6,7,7,8,7,8,6,6,7,7,8,7,7,8,7,9,6,7,9,6,7,6,8,9,6,8,7
77,7,8,6,7,7,6,8,6,8,7,6,8,8,7,7,7,7,6,8,7,7,8,6,7,7,7,9,6,7,6
78,7,8,6,8,7,7,7,7,10,8,7,8,9,8,8,6,8,8,8,6,7,9,7,8,7,8,10,6,10,6
79,7,7,6,7,6,6,6,6,6,7,6,7,6,6,6,7,7,6,6,6,7,7,6,7,6,7,7,6,6,6
80,8,9,8,8,8,7,8,9,7,9,7,8,9,7,7,9,9,7,9,8,9,7,8,7,7,8,8,9,7,9
81,9,8,6,7,7,6,7,6,9,8,6,7,7,7,7,8,8,7,8,7,7,8,6,7,7,8,8,7,7,7
82,8,8,7,6,7,6,8,7,7,8,6,7,7,6,8,8,8,8,7,7,8,8,6,8,7,7,6,6,7,6
83,8,9,7,8,7,8,8,8,9,10,6,8,8,7,9,9,10,8,9,7,8,8,8,9,8,9,9,8,9,7
84,8,9,7,8,9,8,9,8,9,9,6,9,8,7,8,9,8,9,9,8,8,9,7,9,9,8,9,8,8,7
85,8,10,8,9,8,9,9,8,10,10,7,9,10,8,9,9,10,8,10,8,9,10,8,9,8,10,9,8,10,7
86,9,9,10,9,8,9,9,10,8,10,7,9,8,7,10,8,10,8,9,8,8,9,10,10,8,9,8,9,10,9
87,7,9,7,8,7,7,7,8,9,9,6,8,8,7,8,8,9,7,9,7,8,9,8,7,7,8,9,7,8,7
88,8,8,6,6,7,7,9,7,6,7,6,7,8,7,7,7,7,7,9,7,8,8,7,8,7,6,7,8,7,7
89,7,8,9,9,7,7,8,8,8,7,6,7,8,7,8,7,9,7,6,7,7,8,8,9,7,8,8,6,8,6
90,8,10,6,7,8,7,8,7,9,9,6,8,9,8,9,9,8,8,8,8,8,9,6,7,7,7,9,8,6,8
91,6,6,6,6,6,6,6,7,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,7,7,7,6,9,6
92,8,7,6,6,6,7,7,6,7,7,6,6,8,8,6,7,7,7,7,7,6,8,7,7,6,6,6,6,6,6
93,8,9,6,7,7,7,7,7,10,6,7,6,9,10,8,7,6,9,9,7,8,10,6,7,6,7,9,6,7,7
94,9,9,6,8,8,7,9,7,9,8,6,8,9,8,8,8,10,8,10,8,8,10,7,8,7,9,9,9,8,8
95,7,8,6,6,6,6,6,6,7,7,6,6,8,7,6,6,7,7,8,6,6,9,6,7,6,7,8,6,7,7
96,6,7,6,6,7,6,7,7,7,8,6,6,8,8,7,8,8,7,6,7,7,7,6,7,6,6,7,6,7,6
97,8,8,7,7,7,7,8,7,8,9,6,7,8,8,6,7,7,7,8,7,9,8,7,6,7,7,8,7,6,7
98,7,8,7,6,7,7,8,7,7,7,6,6,8,8,7,7,7,7,7,7,7,8,6,8,7,7,8,6,6,6
99,6,7,6,8,6,7,7,7,8,6,6,7,7,7,8,6,7,6,6,6,6,7,7,8,6,6,8,6,8,6
100,6,8,6,6,6,6,6,6,6,7,6,6,7,6,7,6,7,6,8,6,6,7,6,7,6,6,7,6,8,6
101,8,10,7,8,8,7,8,8,8,7,6,8,9,9,8,8,8,8,8,6,8,8,7,8,7,8,8,7,8,6
102,9,10,8,9,8,7,9,8,10,9,6,8,10,10,8,10,9,9,10,8,10,10,8,8,9,9,10,8,8,8
103,6,7,7,6,8,7,8,7,7,8,6,7,7,6,7,7,7,6,6,6,7,6,8,8,7,6,7,7,6,6
104,7,6,7,6,7,7,8,7,7,9,6,7,8,7,6,8,7,7,8,7,7,6,7,7,6,6,6,7,7,7
105,7,9,8,8,8,7,7,8,7,9,6,8,9,7,7,7,8,7,7,8,7,8,8,8,7,7,7,7,7,8
106,6,8,6,6,6,6,7,6,6,6,6,6,7,6,7,6,6,6,6,6,7,8,6,6,6,6,7,6,6,6
107,9,9,8,8,8,8,9,8,9,9,6,8,8,8,9,9,9,8,9,7,9,8,8,8,7,8,8,8,8,8
108,7,6,7,7,7,7,7,7,7,7,6,6,7,6,7,6,7,6,7,6,6,7,6,7,6,6,7,6,7,6
109,8,8,6,8,6,7,7,6,8,7,6,6,9,9,7,8,6,6,8,7,8,8,6,8,6,6,8,6,7,6
110,8,9,10,9,9,8,10,8,7,10,7,10,8,9,9,10,9,8,9,8,9,8,9,9,8,8,8,9,8,9
111,7,7,8,6,6,6,6,6,8,6,6,6,7,7,7,6,6,6,7,6,7,8,6,7,6,6,8,8,6,7
112,7,7,6,7,7,7,7,6,7,7,6,6,7,7,6,7,8,6,7,7,6,7,6,6,6,7,8,6,7,6
113,7,7,6,6,6,6,6,6,7,6,6,6,7,7,6,7,7,6,7,6,7,7,6,6,6,6,7,6,7,6
114,6,8,7,7,8,6,6,7,8,8,6,7,7,6,7,7,7,6,7,6,8,8,6,7,7,7,7,7,7,7
115,7,8,6,7,7,7,8,7,7,8,6,8,8,9,8,9,8,7,8,7,8,9,7,7,7,7,8,7,6,7
116,7,8,6,7,7,8,7,6,7,7,6,7,8,7,7,7,7,6,6,6,6,7,7,8,7,7,6,6,7,6
117,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,7,6,6,6,6,7,6,7,6,6
118,8,9,6,8,7,7,8,6,10,7,6,7,9,9,7,7,7,8,8,7,6,9,6,8,6,8,10,6,7,6
119,6,8,6,7,7,7,7,7,9,6,6,6,8,7,7,7,7,6,7,6,6,8,6,8,7,6,8,6,6,6
120,8,8,7,7,7,7,8,8,7,9,6,7,7,7,7,8,8,7,7,7,7,8,7,8,7,6,7,7,7,7
121,7,8,6,7,6,6,7,7,8,8,6,7,7,8,7,7,7,6,8,6,7,8,6,7,6,6,8,6,6,6
122,8,10,8,8,8,7,7,7,8,10,7,8,8,8,8,8,9,7,8,6,8,9,8,9,8,9,9,7,9,6
123,7,6,7,8,7,6,6,7,6,8,7,7,7,6,7,7,7,6,6,8,7,7,6,7,6,6,6,6,6,7
124,9,10,7,8,8,9,9,9,9,9,6,8,9,10,10,10,9,9,9,8,10,9,8,9,8,8,9,9,8,9
125,8,8,6,6,6,7,7,7,9,7,6,6,7,8,7,7,7,8,8,7,8,9,6,7,6,7,9,6,7,6
126,8,9,9,9,8,8,8,8,8,9,6,9,8,8,10,8,10,7,7,7,8,9,7,8,8,8,8,7,9,6
127,7,9,8,7,7,7,7,8,8,7,7,8,9,7,8,7,8,7,8,6,6,9,8,9,7,8,8,6,9,6
128,7,9,6,8,8,6,8,7,7,7,7,6,7,7,7,7,8,6,8,6,7,7,6,6,6,6,8,6,7,6
129,9,10,9,8,9,9,9,9,8,10,8,10,8,8,9,9,8,8,8,8,9,9,8,9,8,9,9,9,8,8
130,8,8,8,7,7,6,7,7,8,7,6,6,8,7,7,8,7,7,6,7,8,8,6,8,7,7,9,6,7,6
131,7,7,6,7,7,7,7,7,7,8,7,6,6,6,7,6,7,6,6,6,7,7,8,8,6,7,6,6,7,6
132,6,6,6,6,6,6,6,6,7,6,7,7,7,7,7,6,6,7,6,6,6,6,6,7,7,9,7,7,9,6
133,7,8,6,6,7,7,7,6,8,6,6,6,7,7,6,6,6,6,7,8,6,8,6,7,6,6,7,6,6,6
134,8,9,7,7,7,7,8,8,8,7,6,8,9,9,8,9,8,8,8,7,8,9,7,8,7,8,8,8,6,8
135,7,8,6,7,6,6,6,6,8,6,6,6,8,8,6,7,6,7,8,7,7,9,6,6,6,7,9,6,7,6
136,9,10,9,8,8,8,10,8,8,10,7,9,8,8,9,9,10,8,9,7,8,9,8,10,9,8,10,8,10,9
137,7,9,8,8,9,8,8,9,7,10,7,9,7,8,9,8,9,7,8,7,7,8,8,10,8,8,9,8,9,8
138,6,7,6,7,6,6,6,7,7,7,7,6,6,6,6,6,6,8,6,6,6,6,9,7,6,6,6,6,6,9
139,6,6,6,9,6,6,6,6,6,6,7,6,6,6,6,6,6,9,6,7,6,6,9,6,6,9,6,8,10,6
140,7,6,7,7,7,7,7,7,6,7,6,7,8,7,7,7,6,6,6,7,6,7,6,7,6,6,6,6,6,7
141,8,7,6,6,7,6,7,6,7,7,6,6,8,7,6,7,7,7,6,7,7,8,6,7,6,6,7,7,6,7
142,7,8,7,7,8,7,7,7,6,9,6,8,7,6,8,6,7,6,7,6,7,7,7,7,7,7,7,7,8,6
143,7,7,6,6,6,6,7,6,8,7,6,7,7,7,6,6,6,6,7,6,6,8,6,6,6,7,8,6,8,8
144,7,6,7,7,7,6,7,7,6,7,6,7,8,7,6,7,7,6,7,7,7,7,6,8,6,6,7,6,6,7
145,8,10,7,8,9,8,9,8,8,9,7,8,8,8,8,8,9,8,9,7,8,9,8,8,7,8,8,8,8,8
146,8,7,7,7,8,7,8,7,6,9,6,8,8,8,8,8,7,6,7,8,8,6,7,7,6,6,7,8,6,8
147,8,9,6,8,7,7,6,7,9,7,7,8,7,8,7,7,8,7,9,6,6,9,7,8,7,7,9,6,8,6
148,10,10,8,9,8,7,10,8,10,9,7,7,10,10,8,9,10,9,10,10,9,10,8,8,7,8,10,9,9,8
149,6,6,7,6,6,6,6,6,7,6,6,7,6,7,7,6,6,6,6,6,6,8,6,7,7,6,7,7,6,7
150,8,7,7,6,7,7,8,6,6,7,6,7,7,7,7,8,7,6,7,8,8,8,6,7,6,6,7,6,6,7
151,7,7,6,6,7,6,7,6,6,8,6,8,6,6,8,6,7,6,8,6,6,7,6,7,6,6,7,7,8,6
152,7,9,8,6,7,6,7,6,7,7,6,6,8,8,7,8,7,7,7,7,7,8,6,6,6,6,8,6,6,7
153,7,7,6,7,6,6,6,6,8,7,6,6,7,8,7,6,7,6,7,6,6,8,7,6,6,6,8,6,7,6
154,7,7,7,6,6,6,6,7,7,7,6,6,6,7,7,6,7,6,6,6,7,7,6,8,6,6,7,6,7,6
155,7,7,6,7,7,7,7,6,9,7,7,7,8,8,8,8,7,6,7,7,6,8,6,7,7,7,8,6,7,7
156,7,8,6,8,7,6,7,7,8,8,6,7,7,8,8,6,7,7,8,6,6,8,6,7,7,7,8,6,8,6
157,6,6,7,6,7,6,7,6,7,6,7,6,7,7,7,7,6,6,7,6,6,7,6,6,6,7,7,6,7,6
158,8,8,9,8,7,8,9,10,7,10,7,9,8,8,10,9,9,6,8,7,8,7,8,9,8,8,8,7,9,7
159,6,7,6,6,6,6,8,6,7,6,6,6,7,6,6,7,6,6,6,6,6,7,7,6,6,6,7,6,6,6
160,6,6,6,7,6,6,7,6,7,7,6,6,7,6,7,6,7,6,6,6,6,7,6,7,6,6,6,6,7,6
161,8,7,8,6,7,7,10,7,7,8,6,7,7,8,7,8,7,6,7,9,8,8,7,8,6,7,7,7,6,8
162,6,6,7,7,7,6,6,7,6,6,7,6,6,6,7,7,7,6,6,6,7,6,6,6,7,6,7,6,7,6
163,7,9,8,8,8,8,9,8,8,9,7,9,8,8,8,8,10,8,8,6,8,8,8,10,8,10,9,8,9,7
164,9,8,7,8,8,8,8,7,10,8,7,7,9,9,8,8,8,8,9,8,9,10,7,8,8,8,9,7,7,7
165,9,10,6,7,7,8,8,7,9,8,6,7,9,8,7,8,8,7,9,7,7,9,7,8,6,8,9,8,7,6
166,8,7,6,6,7,7,8,7,6,8,7,7,6,7,7,8,7,6,7,7,8,7,6,7,6,6,7,6,6,8
167,7,7,6,7,6,6,7,7,8,7,7,6,8,7,6,7,6,7,7,6,7,7,7,6,7,6,8,6,7,6
168,8,7,6,7,7,7,7,7,9,7,6,6,9,9,7,8,7,7,8,8,8,9,6,7,6,6,9,7,6,6
169,7,6,6,6,6,6,7,6,7,7,6,6,7,8,6,7,6,6,7,6,6,7,6,6,6,6,7,6,6,7
